Дата транзакции;Операция;Сумма;Валюта;Дата операции по счету;Комиссия/Money-back;Обороты по счету;Цифровая карта;Категория операции;
26.03.2022 17:16:57;Retail BLR MINSK MOBILE BANK  ;-5,00;BYN;26.03.2022;0,00;-5,00;;Денежные переводы;
21.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-0,80;BYN;23.03.2022;0,00;-0,80;;Транспортировка;
20.03.2022 11:34:33;Retail BLR MINSK MOBILE BANK  ;-55,41;BYN;20.03.2022;0,00;-55,41;;Денежные переводы;
20.03.2022 11:32:44;Retail BLR MINSK MOBILE BANK  ;-12,30;BYN;20.03.2022;0,00;-12,30;;Денежные переводы;
20.03.2022 11:28:55;CH Payment BLR MINSK P2P_SDBO  ;70,00;BYN;20.03.2022;0,00;70,00;;Поставщик  услуг;
20.03.2022 09:03:42;Retail BLR MINSK MOBILE BANK  ;-5,00;BYN;20.03.2022;0,00;-5,00;;Денежные переводы;
20.03.2022 09:03:28;Retail BLR MINSK MOBILE BANK  ;-5,00;BYN;20.03.2022;0,00;-5,00;;Денежные переводы;
19.03.2022 00:00:00;Retail BLR MINSK CAFE "BEREZKA"  ;-35,00;BYN;20.03.2022;0,00;-35,00;;Ресторация / бары / кафе;
18.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-2,40;BYN;19.03.2022;0,00;-2,40;;Транспортировка;
18.03.2022 00:00:00;Retail BLR MINSK I.-SHOP"WWW.PASS.RW.BY"  ;-16,04;BYN;19.03.2022;0,00;-16,04;;Транспорт - ЖД билеты;
18.03.2022 00:00:00;Retail BLR MINSK I.-SHOP"WWW.PASS.RW.BY"  ;-16,04;BYN;19.03.2022;0,00;-16,04;;Транспорт - ЖД билеты;
13.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-1,60;BYN;14.03.2022;0,00;-1,60;;Транспортировка;
13.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,60;BYN;15.03.2022;0,00;-5,60;;Транспорт - Такси;
12.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-0,40;BYN;14.03.2022;0,00;-0,40;;Транспорт - Такси;
12.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,30;BYN;14.03.2022;0,00;-5,30;;Транспорт - Такси;
09.03.2022 15:44:18;Cash BLR MINSK PRIORBANK CBU 119 PRK 2  ;-1 500,00;BYN;09.03.2022;0,00;-1 500,00;;Операции с наличными;
09.03.2022 12:04:01;CH Payment BLR MINSK P2P SDBO NO FEE  ;1 600,00;BYN;09.03.2022;0,00;1 600,00;;Поставщик  услуг;
09.03.2022 12:02:22;Retail BLR MINSK MOBILE BANK  ;-5,00;BYN;09.03.2022;0,00;-5,00;;Денежные переводы;
09.03.2022 12:00:37;Retail BLR MINSK MOBILE BANK  ;-5,00;BYN;09.03.2022;0,00;-5,00;;Денежные переводы;
09.03.2022 11:56:18;Retail BLR MINSK MOBILE BANK  ;-1 935,20;BYN;09.03.2022;0,00;-1 935,20;;Денежные переводы;
09.03.2022 11:55:13;CH Payment BLR MINSK P2P SDBO NO FEE  ;1 900,00;BYN;09.03.2022;0,00;1 900,00;;Поставщик  услуг;
09.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,90;BYN;13.03.2022;0,00;-5,90;;Транспорт - Такси;
08.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-9,70;BYN;10.03.2022;0,00;-9,70;;Транспорт - Такси;
07.03.2022 21:13:15;CH Payment BLR MINSK P2P SDBO NO FEE  ;50,00;BYN;07.03.2022;0,00;50,00;;Поставщик  услуг;
07.03.2022 10:48:59;CH Payment BLR MINSK P2P SDBO NO FEE  ;150,00;BYN;07.03.2022;0,00;150,00;;Поставщик  услуг;
07.03.2022 00:00:00;Retail BLR Minsk Magazin Gloria Jeans  ;-35,10;BYN;09.03.2022;0,00;-35,10;;Магазины одежды;
07.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP  ;-0,80;BYN;09.03.2022;0,00;-0,80;;Транспортировка;
07.03.2022 00:00:00;Retail BLR MOGILEV INT-SH."WWW.WILDBERRIES.B  ;-120,07;BYN;09.03.2022;0,00;-120,07;;Магазины продуктовые;
07.03.2022 00:00:00;Retail BLR MINSK SHOP N9869  ;-4,00;BYN;09.03.2022;0,00;-4,00;;Магазины продуктовые;
07.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-7,90;BYN;09.03.2022;0,00;-7,90;;Транспорт - Такси;
06.03.2022 00:00:00;Retail BLR MINSK SHOP "MARK FORMEL"  ;-4,49;BYN;07.03.2022;0,00;-4,49;;Магазины одежды;
05.03.2022 12:27:16;CH Payment BLR MINSK P2P SDBO NO FEE  ;100,00;BYN;05.03.2022;0,00;100,00;;Поставщик  услуг;
05.03.2022 00:00:00;Retail BLR MINSK PIZZERIA "PIZZA TEMPO"  ;-61,90;BYN;06.03.2022;0,00;-61,90;;Ресторация / бары / кафе;
04.03.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-1,44;BYN;05.03.2022;0,00;-1,44;;Магазины продуктовые;
04.03.2022 00:00:00;Retail BLR MINSK SHOP "TRI TSENY"  ;-5,80;BYN;05.03.2022;0,00;-5,80;;Магазины продуктовые;
02.03.2022 00:00:00;Retail BLR Minsk Kafe Timohin dvor  ;-37,60;BYN;03.03.2022;0,00;-37,60;;Ресторация / бары / кафе;
02.03.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB  ;-3,00;BYN;03.03.2022;0,00;-3,00;;Магазины продуктовые;
02.03.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-16,56;BYN;03.03.2022;0,00;-16,56;;Магазины продуктовые;
01.03.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-15,76;BYN;02.03.2022;0,00;-15,76;;Магазины продуктовые;
28.02.2022 22:43:44;Monthly Fee (пакет услуг)  ;0,00;BYN;01.03.2022;-6,00;-6,00;;;
28.02.2022 09:21:21;Cash BLR MINSK PRIORBANK CBU 119 PRK 2  ;-500,00;BYN;28.02.2022;0,00;-500,00;;Операции с наличными;
28.02.2022 00:00:00;Retail BLR MINSK SHOP "VITALUR"  ;-17,52;BYN;01.03.2022;0,00;-17,52;;Магазины продуктовые;
28.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,60;BYN;02.03.2022;0,00;-5,60;;Транспорт - Такси;
28.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,70;BYN;02.03.2022;0,00;-5,70;;Транспорт - Такси;
27.02.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-60,60;BYN;28.02.2022;0,00;-60,60;;Магазины продуктовые;

